epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.439,1.05485,2.43527,1.46296,0.69613,0.41514,0.51794,0.27379,1.4733,2.67128,1.80458,0.00066055,0.00066055,0.00066055
2,344.002,1.24888,2.09352,1.64084,0.52872,0.4094,0.41303,0.22525,1.51364,2.91245,1.88355,0.00119582,0.00119582,0.00119582
3,514.36,1.28547,2.01814,1.61998,0.7142,0.57718,0.63282,0.39395,1.32744,2.01132,1.69866,0.00159909,0.00159909,0.00159909
4,686.304,1.27193,1.84696,1.64297,0.71492,0.51007,0.58405,0.31269,1.57419,2.108,1.99131,0.001406,0.001406,0.001406
5,864.611,1.21982,1.64548,1.5918,0.67429,0.62525,0.66918,0.43125,1.30434,1.8224,1.59291,0.001208,0.001208,0.001208
6,1048.31,1.18134,1.51003,1.52775,0.78792,0.52362,0.60104,0.3979,1.31438,1.63634,1.66691,0.00101,0.00101,0.00101
7,1696.8,1.12669,1.43359,1.48146,0.7348,0.65772,0.69957,0.47884,1.15594,1.4317,1.45217,0.000812,0.000812,0.000812
8,1852.73,1.02844,1.27155,1.42746,0.84766,0.63485,0.7371,0.51708,1.11843,1.28223,1.42542,0.000614,0.000614,0.000614
9,2015.99,0.97057,1.19247,1.35776,0.88576,0.63087,0.75358,0.53659,1.07599,1.22375,1.39392,0.000416,0.000416,0.000416
10,2182.24,0.93084,1.12255,1.3545,0.89209,0.65772,0.77034,0.55718,1.0132,1.17031,1.32529,0.000218,0.000218,0.000218
